,Unnamed: 0,date,hour,tweet,linea,estacion
24,24,14/Nov/2019,19:05:07,@MetroCDMX https://t.co/UKQYnqWvgv,,
25,25,14/Nov/2019,19:10:43,"Todos, TODOS los alrededores de @MetroCDMX #Tacubaya invadidos por ambulantes, camiones bloqueando (porque están estacionados) y ahora “sitio” de taxis antes de calle Tordo solo dejan un carril en Av Jalisco. No hay un solo @UCS_GCDMX @SSP_CDMX ... Corrupción @vromog ?No hay duda",linea1 ,Tacubaya Tacubaya Tacubaya 
26,26,14/Nov/2019,19:13:48,"Esto es lo que pasa en el INCADE, los negocios de @FirenzeM y NAHUM LEAL contratan gente externa que no tienen ni idea de lo que es el @metrocdmx ni de como se trabaja, el fin es llenarse los bolsillos a costa de lo que sea. Por eso hay tantas fallas. Chequen esto 👀 @maveruko https://t.co/XzAAJTcS3w",,
27,27,14/Nov/2019,19:13:55,"Todos, TODOS los alrededores de @MetroCDMX #Tacubaya invadidos por ambulantes, camiones bloqueando (porque están estacionados) y ahora “sitio” de taxis antes de calle Tordo solo dejan un carril en Av Jalisco. No hay un solo @UCS_GCDMX @SSP_CDMX ... Corrupción @vromog ?No hay duda",linea1 ,Tacubaya Tacubaya Tacubaya 
28,28,14/Nov/2019,19:14:05,Un emblema de la corrupción que dejó @jorgegavino en su paso por el @CDMXMetro cuanto se tardará @FirenzeM en auditarlo y meterlo a la carcel @DenunciasMetro @Mnoseprivatiza @Dagda2018 @Elfranc72766765 https://t.co/dLll0e9Mfb,,
29,29,14/Nov/2019,19:14:51,"Solo cambiaron los nombres, de ""pastes kikos"" a ""empanadas mineras"" jajajaja, que mal estas @FirenzeM , @MetroCDMX https://t.co/doWZ8aFAHu",,
30,30,14/Nov/2019,19:15:49,@MetroCDMX @FirenzeM nos podrían indicar por qué se les permite tener hornos y si están autorizando espacios nuevos como estos? @Claudiashein @DenunciasMetro @Dalila_Sarabia @Dagda2018 @arizpe_javier @FrancoZepeda6 @Contralacorru13 @KillerQ16054101 @lopezobrador_ @ContraloriaCDMX https://t.co/1OubCq5Mx2,,
31,31,14/Nov/2019,19:15:52,"@RealHades_ @KillerQ16054101 @DenunciasMetro @Elfranc72766765 @MetroCDMX @FirenzeM @Claudiashein @Dalila_Sarabia @Dagda2018 @FrancoZepeda6 @Contralacorru13 @lopezobrador_ @ContraloriaCDMX @MElenaPerezJaen @MuySuFrida @5antaMerlina @Mnoseprivatiza Una de las acciones que está tomando el Metro es quitarles la luz a quienes consuman más luz, y a estos de pastes mineros les permiten todo, ¿de quien serán? Ya se volvió $electiva Florencia, lo rata no se le quita.",,
32,32,14/Nov/2019,19:15:53,"Esto es lo que pasa en el INCADE, los negocios de @FirenzeM y NAHUM LEAL contratan gente externa que no tienen ni idea de lo que es el @metrocdmx ni de como se trabaja, el fin es llenarse los bolsillos a costa de lo que sea. Por eso hay tantas fallas. Chequen esto 👀 @maveruko https://t.co/XzAAJTcS3w",,
33,33,14/Nov/2019,19:15:56,@arizpe_javier @RealHades_ @KillerQ16054101 @DenunciasMetro @Elfranc72766765 @MetroCDMX @FirenzeM @Claudiashein @Dalila_Sarabia @FrancoZepeda6 @Contralacorru13 @lopezobrador_ @ContraloriaCDMX @MElenaPerezJaen @MuySuFrida @5antaMerlina @Mnoseprivatiza Todo un tema lo de la luz de los locales ...super negocio para la subgerencia de instalaciones eléctricas ...pero eso ya lo sabe @FirenzeM ..sabe de la denuncia que dejó Gaviño y todos los implicados siguen en la nómina del metro..verdad? @Claudiashein te están picando los ojitos,,
